index,Name,Mass,Amp 44,Area 44,sample,age1,age2,age_end,path_name,path_num,age_lin,age_absolute,d13c,d18o,age_calc,month_int,d18o_dt
23,12 SPL A Path N 4A,0.258,13584.0,158.465,N 4A,,,,N,4,2.4843693647810907,1929.3490000000002,-1.0921337702647147,25.944222283162805,1932.4559139088726,5,0.03594607834266483
24,12 SPL A Path N 5A,0.268,13880.0,169.092,N 5A,,,,N,5,2.5510360314477576,1929.4156666666668,-0.662825006156738,26.147540444755744,1932.5225805755392,6,0.24273070635552685
25,12 SPL A Path N 6A,0.228,12373.0,144.376,N 6A,,,,N,6,2.617702698114424,1929.4823333333334,-0.5564626383048062,26.141430349045248,1932.589247242206,7,0.23997242380543682
26,12 SPL A Path N 7A,0.252,13033.0,158.695,N 7A,,,2.0,N,7,2.684369364781091,1929.549,-1.109325123630354,25.923732840837122,1932.6559139088727,8,0.025512075505478293
27,12 SPL A Path N 8A,0.232,12366.0,145.037,N 8A,,,,N,8,2.8510360314477574,1929.7156666666667,-0.7856254244394243,25.978047741667293,1932.8225805755394,10,0.08741826814661735
28,12 SPL A Path N 9A,0.24,12380.0,150.652,N 9A,,,,N,9,3.0177026981144244,1929.8823333333335,-0.8950745586925912,25.903561785733782,1932.989247242206,0,0.019807021210308307
29,12 SPL A Path N 10A,0.244,13251.0,156.489,N 10A,1.0,3.0,,N,10,3.184369364781091,1930.049,-0.6809593667085425,25.897561411158375,1933.1559139088727,2,0.019964772818337195
30,12 SPL A Path N 11A,0.246,12704.0,154.338,N 11A,,,,N,11,3.2677026981144244,1930.1323333333335,-1.0209114591029735,25.7723039592664,1933.239247242206,3,-0.10248233453708266
31,12 SPL A Path N 12A,0.288,15014.0,180.33,N 12A,,,,N,12,3.3510360314477574,1930.2156666666667,-1.3095232576258642,25.63847454369525,1933.3225805755394,4,-0.2336805512678417
32,12 SPL A Path N 13A,0.246,12339.0,147.025,N 13A,,,,N,13,3.434369364781091,1930.299,-1.2720982005820503,25.94895694607268,1933.4059139088727,5,0.07925390423198664
33,12 SPL A Path N 14A,0.24,12350.0,151.258,N 14A,,,,N,14,3.5177026981144244,1930.3823333333335,-1.3170545164016993,25.97347864011306,1933.489247242206,6,0.10604850569859892
34,12 SPL A Path N 15A,0.256,13456.0,157.97,N 15A,,,,N,15,3.6010360314477574,1930.4656666666667,-1.1418526745475104,25.90520368414823,1933.5725805755394,7,0.03986731145655753
35,12 SPL A Path N 16A,0.25,12571.0,153.874,N 16A,,,3.0,N,16,3.684369364781091,1930.549,-0.7572993926918274,26.00777629135965,1933.6559139088727,8,0.14435453469460313
36,12 SPL A Path N 17A,0.294,15624.0,183.688,N 17A,,,,N,17,3.8510360314477574,1930.7156666666667,-0.9785530797698602,25.87682509627871,1933.8225805755394,10,0.016695134542036527
37,12 SPL A Path N 18A,0.234,12479.0,152.568,N 18A,,,,N,18,4.017702698114424,1930.8823333333335,-0.7522529054931643,25.936535925788323,1933.989247242206,0,0.07898117616625555
38,12 SPL A Path N 19A,0.232,13142.0,154.98,N 19A,1.0,4.0,,N,19,4.184369364781091,1931.049,-0.4753764143056851,25.81480130605524,1934.1559139088727,2,-0.04089481426598596
39,12 SPL A Path N 20A,0.27,13210.0,160.865,N 20A,,,,N,20,4.309369364781091,1931.174,-1.0541105124818626,25.797011787375236,1934.2809139088727,3,-0.057760618440074296
40,12 SPL A Path N 21A,0.264,14706.0,176.709,N 21A,,,,N,21,4.434369364781091,1931.299,-1.3083018657744203,25.937112941400553,1934.4059139088727,5,0.08286117225477696
41,12 SPL A Path N 22A,0.238,12507.0,151.741,N 22A,,,,N,22,4.559369364781091,1931.424,-1.2083118407803008,25.99172957535224,1934.5309139088727,6,0.13759536504689507
42,12 SPL A Path N 23A,0.306,16278.0,195.754,N 23A,,,4.0,N,23,4.684369364781091,1931.549,-0.7866722377918902,25.86286504114408,1934.6559139088727,8,0.008445311842780967
43,12 SPL A Path N 24A,0.24,12014.0,143.245,N 24A,,,,N,24,4.851036031447758,1931.7156666666667,-0.513271381426871,25.966250760338784,1934.8225805755394,10,0.11082332908326364
44,12 SPL A Path N 25A,.0.276,13083.0,160.111,N 25A,,,,N,25,5.017702698114424,1931.8823333333335,-0.9268902886711432,25.898406851690392,1934.989247242206,0,0.04125513566688355
45,12 SPL A Path N 26A,0.248,11818.0,138.748,N 26A,1.0,5.0,,N,26,5.184369364781091,1932.049,-1.2715079927154664,25.782362056534286,1935.1559139088727,2,-0.07723052707097722
46,12 SPL A Path N 27A,0.292,15799.0,192.739,N 27A,,,,N,27,5.255797936209662,1932.1204285714286,-1.0699233482881971,25.75479168238311,1935.2273424803013,3,-0.10606634941283133
47,12 SPL A Path N 28A,0.272,14819.0,172.305,N 28A,,,,N,28,5.327226507638234,1932.191857142857,-1.3709042686969781,25.69585086012515,1935.2987710517298,4,-0.16640423711075059
48,12 SPL A Path N 29A,0.248,12649.0,154.197,N 29A,,,,N,29,5.398655079066805,1932.2632857142858,-1.2975919731519299,25.76652400661416,1935.3701996231584,4,-0.0972597733182603
49,12 SPL A Path N 30A,0.224,13329.0,156.339,N 30A,,,,N,30,5.4700836504953765,1932.3347142857144,-1.185940751949899,25.9238552974611,1935.4416281945869,5,0.05841121758288281
50,12 SPL A Path N 31A,0.24,12743.0,155.034,N 31A,,,,N,31,5.541512221923948,1932.4061428571429,-0.8911346290385973,25.99289046414766,1935.5130567660156,6,0.12565446706708983
51,12 SPL A Path N 32A,0.248,12869.0,151.609,N 32A,,,,N,32,5.61294079335252,1932.4775714285715,-0.8966696932129582,26.063203098335652,1935.584485337444,7,0.19404356681072343
52,12 SPL A Path N 33A,0.266,12913.0,157.241,N 33A,,,5.0,N,33,5.684369364781091,1932.549,-0.6455943966580336,25.567538850204404,1935.6559139088727,8,-0.3036758330214404
53,12 SPL A Path N 34A,0.266,12900.0,156.85,N 34A,,,,N,34,5.851036031447758,1932.7156666666667,-0.6302312863967348,25.937115880359524,1935.8225805755394,10,0.06059399829686285
54,12 SPL A Path N 35A,0.264,13272.0,157.443,N 35A,,,,N,35,6.017702698114424,1932.8823333333335,-0.6994091927832763,25.718828621050275,1935.989247242206,0,-0.16371704266297016
55,12 SPL A Path N 36A,0.226,9344.0,114.819,N 36A,1.0,6.0,,N,36,6.184369364781091,1933.049,-1.0239939255411796,25.84527537167443,1936.1559139088727,2,-0.044010656503164824
56,12 SPL A Path N 37A,0.244,13163.0,154.941,N 37A,,,,N,37,6.2843693647810905,1933.1490000000001,-1.2465023418310817,25.710164569989875,1936.2559139088726,3,-0.1835096366172273
57,12 SPL A Path N 38A,0.224,10333.0,126.982,N 38A,,,,N,38,6.384369364781091,1933.249,-1.2217676392053258,25.732378201581316,1936.3559139088727,4,-0.16594215326010087
58,12 SPL A Path N 39A,0.251,9502.0,111.574,N 39A,,,,N,39,6.484369364781091,1933.3490000000002,-1.1692806716634458,25.774843219821417,1936.4559139088726,5,-0.12838125308094916
59,12 SPL A Path N 40A,0.204,14563.0,177.892,N 40A,,,,N,40,6.584369364781091,1933.449,-1.0066657827634171,25.967696728154838,1936.5559139088728,7,0.05931016738671602
60,12 SPL A Path N 41A,0.23,10096.0,118.138,N 41A,,,6.0,N,41,6.684369364781091,1933.549,-0.9371639626912891,25.946019946402952,1936.6559139088727,8,0.032213327949715875
61,12 SPL A Path N 42A,0.254,12093.0,147.773,N 42A,,,,N,42,6.7843693647810905,1933.6490000000001,-0.6958520610144662,25.99786612169353,1936.7559139088726,9,0.07838147575037269
62,12 SPL A Path N 43A,0.211,14434.0,169.653,N 43A,,,,N,43,6.884369364781091,1933.749,-0.6082482059949519,25.812673499756816,1936.8559139088727,10,-0.11274714348834536
63,12 SPL A Path N 44A,0.252,12340.0,148.933,N 44A,,,,N,44,6.984369364781091,1933.8490000000002,-0.4100397407746713,25.83781629379406,1936.9559139088726,11,-0.09379831657246385
64,12 SPL A Path N 45A,0.243,11148.0,136.031,N 45A,,,,N,45,7.084369364781091,1933.949,-0.8083145587705729,25.83483716904568,1937.0559139088728,1,-0.10322937825428724
65,12 SPL A Path N 46A,0.252,14490.0,172.212,N 46A,1.0,7.0,,N,46,7.184369364781091,1934.049,-0.7674748252037102,25.816156166143042,1937.1559139088727,2,-0.1286202879024536
66,12 SPL A Path N 47A,0.216,10017.0,122.938,N 47A,,,,N,47,7.267702698114424,1934.1323333333335,-1.0355839953018111,25.987014505502206,1937.239247242206,3,0.03644940222807591
67,12 SPL A Path N 48A,0.231,8867.0,105.147,N 48A,,,,N,48,7.351036031447758,1934.2156666666667,-1.6038280554357822,26.09429336568675,1937.3225805755394,4,0.13776046748781923
68,12 SPL A Path N 49A,0.25,10717.0,131.61,N 49A,,,,N,49,7.434369364781091,1934.299,-1.2562264805761183,26.172615642736556,1937.4059139088727,5,0.20993580389483313
69,12 SPL A Path N 50A,0.222,19013.0,221.556,N 50A,,,,N,50,7.517702698114424,1934.3823333333335,-0.8395865710710547,26.029718559072332,1937.489247242206,6,0.060712633891650825
70,12 SPL A Path N 51A,0.232,11780.0,144.41,N 51A,,,,N,51,7.601036031447758,1934.4656666666667,-0.7469387076550942,26.077640244477355,1937.5725805755394,7,0.10212908725427283
71,12 SPL A Path N 52A,0.244,14674.0,170.846,N 52A,,,7.0,N,52,7.684369364781091,1934.549,-0.4510937642637805,25.663089304769866,1937.6559139088727,8,-0.31910623019178175
72,12 SPL A Path N 53A,0.244,13274.0,173.573,N 53A,,,,N,53,7.851036031447758,1934.7156666666667,-0.9147638870512916,26.635023610751578,1937.8225805755394,10,0.6389218831879226
73,12 SPL A Path N 54A,0.257,11096.0,131.595,N 54A,,,,N,54,8.017702698114425,1934.8823333333335,-0.4129880989541724,26.003291439962712,1937.989247242206,0,-0.0074330630167160905
74,12 SPL A Path N 55A,0.249,11634.0,141.545,N 55A,1.0,8.0,,N,55,8.184369364781091,1935.049,-0.6720483762661944,26.017650213865057,1938.1559139088727,2,-0.008413647336634966
75,12 SPL A Path N 56A,0.242,13391.0,161.251,N 56A,,,,N,56,8.351036031447757,1935.2156666666667,-1.225228047099883,26.38221925792556,1938.3225805755394,4,0.3400994556805621
76,12 SPL A Path N 57A,0.224,11171.0,133.995,N 57A,,,,N,57,8.517702698114425,1935.3823333333335,-1.222387845637512,26.347746248793417,1938.489247242206,6,0.2888539226913487
77,12 SPL A Path N 58A,0.264,10611.0,129.851,N 58A,,,8.0,N,58,8.684369364781091,1935.549,-1.1353531539596395,26.265532790059762,1938.6559139088727,8,0.18915135728685684
78,12 SPL A Path N 59A,0.234,23352.0,274.48,N 59A,,,,N,59,8.751036031447757,1935.6156666666668,-0.8821337946628428,25.624200019950212,1938.7225805755393,9,-0.4593776986791731
79,12 SPL A Path N 60A,0.249,9588.0,117.597,N 60A,,,,N,60,8.817702698114424,1935.6823333333334,-0.5011091130565775,25.96603915529254,1938.7892472422059,9,-0.12484950244556714
80,12 SPL A Path N 61A,0.215,15594.0,183.013,N 61A,,8.7,,N,61,8.88436936478109,1935.749,-0.5981609480190643,25.78607396172062,1938.8559139088727,10,-0.3122402883711679
81,SPL A  Path M 1A,0.232,13154.0,164.229,M 1A,,7.8,,M,1,7.984369364781091,1934.8490000000002,-1.3261384708872943,25.861389230703985,1937.9559139088726,11,0.23050972715036977
82,SPL A  Path M 2A,0.252,16508.0,196.895,M 2A,,,,M,2,8.084369364781091,1934.949,-0.7768306265657567,25.58462440489644,1938.0559139088728,1,-0.047169005015792465
83,SPL A  Path M 3A,0.232,13615.0,169.699,M 3A,0.0,8.0,,M,3,8.184369364781091,1935.049,-0.11141164466657377,25.765131816779142,1938.1559139088727,2,0.132435338035787
84,SPL A  Path M 4A,0.266,15981.0,192.737,M 4A,,,,M,4,8.309369364781091,1935.174,-0.6139973655805353,25.77611936329935,1938.2809139088727,3,0.14230928879168658
85,SPL A  Path M 5A,0.242,14837.0,184.006,M 5A,,,,M,5,8.434369364781091,1935.299,-0.9958299679857308,26.090670751275823,1938.4059139088727,5,0.4557640146415025
86,SPL A  Path M 6A,0.214,12386.0,154.082,M 6A,,,,M,6,8.559369364781091,1935.424,-1.3741882309412718,26.17303768304381,1938.5309139088727,6,0.5370512179204852
87,SPL A  Path M 7A,0.3,18336.0,220.613,M 7A,,,8.0,M,7,8.684369364781091,1935.549,-1.4450111411728368,25.98771982040949,1938.6559139088727,8,0.3506705604348177
88,SPL A  Path M 8A,0.312,20552.0,254.471,M 8A,,,,M,8,8.851036031447757,1935.7156666666667,-1.1735106590684161,25.835251333948115,1938.8225805755394,10,0.19681135538586858
89,SPL A  Path M 9A,0.266,13474.0,166.98,M 9A,,,,M,9,9.017702698114425,1935.8823333333335,-0.8733771028636328,25.552648703577358,1938.989247242206,0,-0.08715188932784557
90,SPL A  Path M 10A,0.32,20220.0,245.426,M 10A,1.0,9.0,,M,10,9.184369364781091,1936.049,-0.7905535451914933,25.2637382505324,1939.1559139088727,2,-0.3773928524711465
91,SPL A  Path M 11A,0.332,21055.0,260.992,M 11A,,,,M,11,9.267702698114425,1936.1323333333335,-0.8701593213173455,25.36312313103863,1939.239247242206,3,-0.27866193792201344
92,SPL A  Path M 12A,0.222,13394.0,160.075,M 12A,,,,M,12,9.351036031447757,1936.2156666666667,-1.2640058030864778,25.55207041165524,1939.3225805755394,4,-0.09036109720157626
93,SPL A  Path M 13A,0.244,13718.0,170.802,M 13A,,,,M,13,9.434369364781091,1936.299,-1.1413366818733919,25.458641089718796,1939.4059139088727,5,-0.18442933297281172
94,SPL A  Path M 14A,0.286,16910.0,205.295,M 14A,,,,M,14,9.517702698114425,1936.3823333333335,-0.7874582851951217,25.802814096798173,1939.489247242206,6,0.15911228633270014
95,SPL A  Path M 15A,0.27,14939.0,182.101,M 15A,,,,M,15,9.601036031447757,1936.4656666666667,-0.812578132132131,25.645760189487575,1939.5725805755394,7,0.0014345173096188546
96,SPL A  Path M 16A,0.306,16626.0,208.837,M 16A,,,9.0,M,16,9.684369364781091,1936.549,-0.6140753430220312,25.717030801966576,1939.6559139088727,8,0.0720887941370627
97,SPL A  Path M 17A,0.26,12945.0,156.9,M 17A,,,,M,17,9.851036031447757,1936.7156666666667,-0.6822604541801969,25.730794548879068,1939.8225805755394,10,0.08464244793058384
98,SPL A  Path M 18A,0.31,18768.0,238.209,M 18A,,,,M,18,10.017702698114425,1936.8823333333335,-1.312927455983709,25.098596239634656,1939.989247242206,0,-0.5487358501881836
99,SPL A  Path M 19A,0.244,13520.0,168.357,M 19A,1.0,10.0,,M,19,10.184369364781091,1937.049,-0.7482833074496298,25.34565811624153,1940.1559139088727,2,-0.3028238582105942
100,SPL A  Path M 20A,0.324,17185.0,205.466,M 20A,,,,M,20,10.351036031447757,1937.2156666666667,-0.8779351469373917,25.34893227637348,1940.3225805755394,4,-0.3006694784637709
101,SPL A  Path M 21A,0.248,12648.0,158.54,M 21A,,,,M,21,10.517702698114425,1937.3823333333335,-1.2696647229825988,25.530122761285845,1940.489247242206,6,-0.12056866969100355
102,SPL A  Path M 22A,0.122,6033.0,73.132,M 22A,,,10.0,M,22,10.684369364781091,1937.549,-1.514577018684952,25.903638969096665,1940.6559139088727,8,0.25188796622483167
103,SPL A  Path M 23A,0.322,17960.0,223.757,M 23A,,,,M,23,10.78436936478109,1937.6490000000001,-1.2524768585627246,25.599059249854868,1940.7559139088726,9,-0.05331304611677723
104,SPL A  Path M 24A,0.264,14865.0,183.385,M 24A,,,,M,24,10.88436936478109,1937.749,-1.5006905696475803,25.832166278767403,1940.8559139088727,10,0.1791835272238984
105,SPL A  Path M 25A,0.32,14019.0,170.093,M 25A,,,,M,25,10.984369364781092,1937.849,-0.9523321915825982,25.64810778525424,1940.9559139088726,11,-0.005474584332716859
106,SPL A  Path M 26A,0.276,14999.0,187.338,M 26A,,,,M,26,11.084369364781091,1937.949,-1.2035106615570734,25.58055490626246,1941.0559139088728,1,-0.07361624383999654
107,12 SPL A M 27A,0.272,13434.0,156.359,M 27A,1.0,11.0,,M,27,11.184369364781091,1938.049,-1.0995170091367505,25.576125508678462,1941.1559139088727,2,-0.07862358441108697
108,12 SPL A M 28A,0.312,15624.0,191.647,M 28A,,,,M,28,11.351036031447757,1938.2156666666667,-1.2700479782098117,25.56497999658956,1941.3225805755394,4,-0.0907082514160571
109,12 SPL A M 29A,0.256,13734.0,161.734,M 29A,,,,M,29,11.517702698114425,1938.3823333333332,-1.3789185903782735,25.285307680807545,1941.489247242206,6,-0.3712896178695253
110,12 SPL A M 30A,0.336,18846.0,228.25,M 30A,,,11.0,M,30,11.684369364781091,1938.549,-1.3159993054743766,25.14046696560739,1941.6559139088727,8,-0.5170092794965164
111,12 SPL A M 31A,0.264,14443.0,174.705,M 31A,,,,M,31,11.934369364781091,1938.799,-1.0786057830486024,26.129278733333653,1941.9059139088727,11,0.4705405140487109
112,12 SPL A M 32A,0.304,17302.0,210.175,M 32A,1.0,12.0,,M,32,12.184369364781091,1939.049,-1.367404351730354,25.508714606652486,1942.1559139088727,2,-0.15121785226242324
113,12 SPL A M 33A,0.262,13933.0,169.184,M 33A,,,,M,33,12.351036031447757,1939.2156666666667,-1.3356125497813636,25.681073774395255,1942.3225805755394,4,0.020382786032424605
114,12 SPL A M 34A,0.27,14756.0,178.017,M 34A,,,,M,34,12.517702698114425,1939.3823333333332,-1.5100496558577907,25.530690182566904,1942.489247242206,6,-0.13072923099877798
115,12 SPL A M 35A,0.236,12838.0,156.954,M 35A,,,12.0,M,35,12.684369364781091,1939.549,-1.4056063362118123,25.80704343401234,1942.6559139088727,8,0.1449256994884216
116,12 SPL A M 36A,0.234,13139.0,155.351,M 36A,1.0,13.1,,M,36,13.28436936478109,1940.1490000000001,-1.0668680980865748,25.700138801270715,1943.2559139088726,3,0.03575637444423663
117,12 SPL A M 37A,0.26,13040.0,159.372,M 37A,,13.2,,M,37,13.38436936478109,1940.249,-1.4056392182820343,25.480242951748746,1943.3559139088727,4,-0.184478992446234
118,12 SPL A M 38A,0.24,12966.0,151.839,M 38A,,,,M,38,13.53436936478109,1940.3990000000001,-1.4327894377862946,25.326744063406142,1943.5059139088726,6,-0.3384668364764529
119,12 SPL A M 39A,0.242,11963.0,145.828,M 39A,,,13.0,M,39,13.684369364781091,1940.549,-1.088843438554905,25.668510704427067,1943.6559139088727,8,0.0028352332947498837
120,12 SPL A M 40A,0.28,14578.0,174.15,M 40A,,,,M,40,13.809369364781091,1940.674,-1.1139792518495688,25.485857343045357,1943.7809139088727,9,-0.18018664379317428
121,12 SPL A4 M 41A,0.192,7707.0,94.251,M 41A,,,,M,41,13.934369364781091,1940.799,-1.6866625432269038,25.609157448259506,1943.9059139088727,11,-0.05723812064804079
122,12 SPL A4 M 42A,0.332,18299.0,219.701,M 42A,,,,M,42,14.059369364781091,1940.924,-1.2670495886957727,25.317980087740562,1944.0309139088727,0,-0.34875012959834706
123,12 SPL A4 M 43A,0.288,14854.0,178.933,M 43A,1.0,14.0,,M,43,14.184369364781091,1941.049,-1.3846034450294458,25.5833337953929,1944.1559139088727,2,-0.08371413673926398
124,12 SPL A4 M 44A,0.238,13056.0,158.81,M 44A,,,,M,44,14.351036031447757,1941.2156666666667,-1.6755463799798715,25.670962775865807,1944.3225805755394,4,0.003517565222924901
125,12 SPL A4 M 45A,0.246,14390.0,170.992,M 45A,,,,M,45,14.517702698114425,1941.3823333333332,-1.9298600039858544,25.848492552099838,1944.489247242206,6,0.18068016719130853
126,12 SPL A4 M 46A,0.218,11097.0,136.036,M 46A,,,14.0,M,46,14.684369364781091,1941.549,-1.953609610375561,25.868200231337998,1944.6559139088727,8,0.20005077640843538
127,12 SPL A4 M 47A,0.258,13967.0,163.362,M 47A,,,,M,47,14.767702698114425,1941.6323333333332,-1.4718222257127604,25.89382893325922,1944.739247242206,9,0.22552223241098446
128,12 SPL A4 M 48A,0.236,12365.0,150.749,M 48A,,,,M,48,14.851036031447757,1941.7156666666667,-1.0235390906283097,25.852523824161526,1944.8225805755394,10,0.1840674034560017
129,12 SPL A4 M 49A,0.268,14980.0,178.816,M 49A,,,,M,49,14.934369364781091,1941.799,-1.4570220059058612,25.78208579439057,1944.9059139088727,11,0.11348717988913748
130,12 SPL A4 M 50A,0.29,14323.0,175.083,M 50A,,,,M,50,15.017702698114425,1941.8823333333332,-1.4908957487779044,25.364711494760417,1944.989247242206,0,-0.30402178747645436
131,12 SPL A4 M 51A,0.208,9904.0,120.435,M 51A,,,,M,51,15.101036031447757,1941.9656666666667,-1.4320845473763366,25.516143315290112,1945.0725805755394,1,-0.15271710862081633
132,12 SPL A4 M 52A,0.22,11439.0,137.256,M 52A,1.0,15.0,,M,52,15.184369364781091,1942.049,-1.0954181326140835,25.565189642329823,1945.1559139088727,2,-0.10379039719378014
133,12 SPL A4 M 53A,0.214,10498.0,128.717,M 53A,,,,M,53,15.351036031447757,1942.2156666666667,-1.422596299544292,25.412815395621916,1945.3225805755394,4,-0.2563812969433492
134,12 SPL A4 M 54A,0.236,12061.0,143.014,M 54A,,,,M,54,15.517702698114425,1942.3823333333332,-1.9705693222034366,25.53892318631087,1945.489247242206,6,-0.13046005505189484
135,12 SPL A4 M 55A,0.296,14713.0,179.621,M 55A,,,15.0,M,55,15.684369364781091,1942.549,-1.7554925067226972,25.696953949394032,1945.6559139088727,8,0.027414263479290213
136,12 SPL A4 M 56A,0.254,16576.0,193.279,M 56A,,,,M,56,15.934369364781091,1942.799,-1.420098273963431,25.87234024488178,1945.9059139088727,11,0.20262233759715897
137,12 SPL A4 M 57A,0.328,17011.0,207.022,M 57A,1.0,16.0,,M,57,16.18436936478109,1943.049,-0.9919871760285384,25.865283804381082,1946.1559139088727,2,0.19545541027810387
138,12 SPL A4 M 58A,0.23,11487.0,134.107,M 58A,,,,M,58,16.327226507638233,1943.191857142857,-1.1572254976664749,25.88792260537102,1946.2987710517298,4,0.21806148737355002
139,12 SPL A4 M 59A,0.262,12939.0,157.7,M 59A,,,,M,59,16.470083650495376,1943.3347142857144,-1.0040982495448867,25.853167456177214,1946.4416281945869,5,0.18329573168982094
140,12 SPL A4 M 60A,0.196,10519.0,124.402,M 60A,,,,M,60,16.612940793352518,1943.4775714285713,-1.1554157696970595,25.843126992663176,1946.584485337444,7,0.17326677909042942
141,12 SPL A4 M 61A,0.26,12752.0,155.168,M 61A,,,,M,61,16.755797936209664,1943.6204285714286,-1.8572402048396803,25.75562144846725,1946.7273424803013,9,0.08579486321371732
142,12 SPL A4 M 62A,0.268,14568.0,172.862,M 62A,,,,M,62,16.898655079066806,1943.7632857142858,-1.6267051740329999,25.73584911213163,1946.8701996231584,10,0.0660782726009721
143,12 SPL A4 M 63A,0.296,14249.0,172.872,M 63A,,,,M,63,17.04151222192395,1943.9061428571429,-1.493099454536379,25.676104974420316,1947.0130567660156,0,0.006411998017103571
144,12 SPL A4 M 64A,0.224,12155.0,146.537,M 64A,1.0,17.0,,M,64,17.18436936478109,1944.049,-1.5986576281262828,25.641814180744664,1947.1559139088727,2,-0.027778815126989542
145,12 SPL A4 M 65A,0.254,13171.0,157.113,M 65A,,,,M,65,17.35103603144776,1944.2156666666667,-1.439701147771348,25.62063702201866,1947.3225805755394,4,-0.04881137595745244
