,index,Name,Mass,Amp 44,Area 44,sample,age1,age2,age_end,path_name,path_num,age_lin,age_absolute,d13c,d18o,age_warped,age_warped_dt,d18o_ma,d13c_ma,age_warped_ma,age_wraped_month
10,10,12 SPL A Path O 11A,0.238,16921.0,204.087,O 11A,,,,O,11,1.41666666666666,1937.132333333333,-1.147436068755026,25.56287310417747,1939.952931383618,1939-12-14 19:40:44.113779742,25.59874030197499,-0.990940902490493,1939.952931383618,12
11,11,12 SPL A Path O 12A,0.2,15359.0,194.735,O 12A,,,,O,12,1.5,1937.215666666667,-0.956751487764903,25.55934862150825,1940.036264716951,1940-01-14 06:32:57.385314756,25.586101758031855,-0.9791176068358517,1940.0362647169513,1
12,12,21 SPL A Path O 13A,0.23,14146.0,171.922,O 13A,,,,O,13,1.58333333333333,1937.299,-0.8331652639876257,25.63608354840984,1940.119598050285,1940-02-13 18:32:57.385333930,25.619118463496324,-0.8783992135179496,1940.1195980502846,2
13,13,22 SPL A Path O 14A,0.212,19518.0,247.169,O 14A,,,,O,14,1.66666666666666,1937.382333333333,-0.8452808888013204,25.66192322057089,1940.202931383618,1940-03-15 06:32:57.385324343,25.701974679750133,-0.913365793960184,1940.202931383618,3
14,14,23 SPL A Path O 15A,0.201,13351.0,167.663,O 15A,,,,O,15,1.75,1937.465666666667,-1.061651229091606,25.80791727026967,1940.286264716951,1940-04-14 18:32:57.385314757,25.783647247439742,-0.9433070329886887,1940.2862647169513,4
15,15,24 SPL A Path O 16A,0.253,22622.0,279.787,O 16A,,,,O,16,1.83333333333333,1937.549,-0.92298898107314,25.88110125147866,1940.369598050285,1940-05-15 06:32:57.385333929,25.893572359625736,-0.9879339923352234,1940.3695980502846,5
16,16,25 SPL A Path O 17A,0.204,20546.0,256.603,O 17A,,,,O,17,1.91666666666666,1937.632333333333,-0.979161766840924,25.99169855712887,1940.452931383618,1940-06-14 18:32:57.385324342,25.855908943278404,-0.8698993360397239,1940.452931383618,6
17,17,26 SPL A Path O 18A,0.224,20318.0,250.738,O 18A,,,1.0,O,18,2.0,1937.715666666667,-0.707547260205108,25.69492702122768,1940.536264716951,1940-07-15 06:32:57.385314755,25.82337151257067,-0.7446697891839552,1940.564042494729,7
18,18,27 SPL A Path O 19A,0.24,12821.0,162.798,O 19A,,,,O,19,2.16666666666666,1937.882333333333,-0.5473003405058336,25.78348895935546,1940.702931383618,1940-09-14 06:32:57.385324344,25.666267566908854,-0.7381286513983977,1940.702931383618,9
19,19,28 SPL A Path O 20A,0.234,11872.0,145.224,O 20A,1.0,2.0,,O,20,2.33333333333333,1938.049,-0.9595383534842514,25.52038672014342,1940.869598050285,1940-11-14 06:32:57.385333929,25.69137542869808,-0.6675121602106456,1940.830709161396,11
20,20,12 SPL A Path N 1A,0.242,12921.0,155.538,N 1A,,2.05,,N,1,2.38333333333333,1938.099,-0.4956977866418517,25.77025060659536,1940.919598050285,1940-12-02 13:44:57.385332491,25.651792775484335,-0.7435922112094852,1940.937190642877,12
21,21,12 SPL A Path N 2A,0.278,13808.0,166.184,N 2A,,,,N,2,2.48611111111111,1938.201777777778,-0.7755404935023524,25.66474099971422,1941.022375828062,1941-01-09 04:00:44.113762213,25.71915027378262,-0.708410499311834,1941.0223758280624,1
22,22,12 SPL A Path N 3A,0.332,16325.0,198.031,N 3A,,,,N,3,2.58888888888888,1938.304555555556,-0.8539932177912977,25.72245921503828,1941.12515360584,1941-02-15 16:20:44.113772411,25.777140832638437,-0.9072224938527883,1941.12515360584,2
23,23,12 SPL A Path N 4A,0.258,13584.0,158.465,N 4A,,,,N,4,2.69166666666666,1938.407333333333,-1.092133770264715,25.94422228316281,1941.227931383618,1941-03-25 04:40:44.113775439,25.93807398098561,-0.8696506647375836,1941.2279313836182,3
24,24,12 SPL A Path N 5A,0.268,13880.0,169.092,N 5A,,,,N,5,2.79444444444444,1938.510111111111,-0.662825006156738,26.14754044475574,1941.330709161396,1941-05-01 17:00:44.113785638,26.0777310256546,-0.7704738049087531,1941.3307091613958,5
25,25,12 SPL A Path N 6A,0.228,12373.0,144.376,N 6A,,,,N,6,2.89722222222222,1938.612888888889,-0.5564626383048062,26.14143034904525,1941.433486939173,1941-06-08 05:20:44.113759983,26.07090121154604,-0.7762042560306327,1941.4334869391732,6
26,26,12 SPL A Path N 7A,0.252,13033.0,158.695,N 7A,,,2.0,N,7,3.0,1938.715666666667,-1.109325123630354,25.92373284083712,1941.536264716951,1941-07-15 17:40:44.113770179,26.014403643849885,-0.8171377287915282,1941.5390424947288,7
27,27,12 SPL A Path N 8A,0.232,12366.0,145.037,N 8A,,,,N,8,3.11111111111111,1938.826777777778,-0.7856254244394243,25.97804774166729,1941.647375828062,1941-08-25 07:00:44.113762215,25.93511412274606,-0.9300083689207899,1941.6473758280624,8
28,28,12 SPL A Path N 9A,0.24,12380.0,150.652,N 9A,,,,N,9,3.22222222222222,1938.937888888889,-0.8950745586925912,25.90356178573378,1941.758486939174,1941-10-04 20:20:44.113790099,25.926390312853144,-0.787219783280186,1941.7584869391737,10
29,29,12 SPL A Path N 10A,0.244,13251.0,156.489,N 10A,1.0,3.0,,N,10,3.33333333333333,1939.049,-0.6809593667085425,25.89756141115837,1941.869598050285,1941-11-14 09:40:44.113789301,25.857809052052847,-0.8656484615013693,1941.869598050285,11
30,30,12 SPL A Path N 11A,0.246,12704.0,154.338,N 11A,,,,N,11,3.44444444444444,1939.160111111111,-1.020911459102974,25.7723039592664,1941.980709161396,1941-12-24 23:00:44.113781333,25.769446638040005,-1.0037980278124603,1941.980709161396,12
31,31,12 SPL A Path N 12A,0.288,15014.0,180.33,N 12A,,,,N,12,3.55555555555555,1939.271222222222,-1.309523257625864,25.63847454369525,1942.091820272507,1942-02-03 12:20:44.113780538,25.786578483011443,-1.2008443057702962,1942.091820272507,2
32,32,12 SPL A Path N 13A,0.246,12339.0,147.025,N 13A,,,,N,13,3.66666666666666,1939.382333333333,-1.27209820058205,25.94895694607268,1942.202931383618,1942-03-16 01:40:44.113779741,25.85363670996033,-1.2995586582032044,1942.202931383618,3
33,33,12 SPL A Path N 14A,0.24,12350.0,151.258,N 14A,,,,N,14,3.77777777777777,1939.493444444445,-1.317054516401699,25.97347864011306,1942.314042494729,1942-04-25 15:00:44.113771774,25.942546423444657,-1.243668463843753,1942.314042494729,4
34,34,12 SPL A Path N 15A,0.256,13456.0,157.97,N 15A,,,,N,15,3.88888888888888,1939.604555555556,-1.14185267454751,25.90520368414823,1942.42515360584,1942-06-05 04:20:44.113770977,25.962152871873645,-1.0720688612136788,1942.42515360584,6
35,35,12 SPL A Path N 16A,0.25,12571.0,153.874,N 16A,,,3.0,N,16,4.0,1939.715666666667,-0.7572993926918274,26.00777629135965,1942.536264716951,1942-07-15 17:40:44.113770179,25.929935023928863,-0.959235049003066,1942.536264716951,7
36,36,12 SPL A Path N 17A,0.294,15624.0,183.688,N 17A,,,,N,17,4.11111111111111,1939.826777777778,-0.9785530797698602,25.87682509627871,1942.647375828062,1942-08-25 07:00:44.113762215,25.940379104475557,-0.8293684593182841,1942.6473758280624,8
37,37,12 SPL A Path N 18A,0.234,12479.0,152.568,N 18A,,,,N,18,4.22222222222222,1939.937888888889,-0.7522529054931643,25.93653592578832,1942.758486939174,1942-10-04 20:20:44.113790099,25.876054109374092,-0.7353941331895699,1942.7584869391737,10
38,38,12 SPL A Path N 19A,0.232,13142.0,154.98,N 19A,1.0,4.0,,N,19,4.33333333333333,1940.049,-0.4753764143056851,25.81480130605524,1942.869598050285,1942-11-14 09:40:44.113789301,25.849449673072936,-0.7605799440935709,1942.8881165688035,11
39,39,12 SPL A Path N 20A,0.27,13210.0,160.865,N 20A,,,,N,20,4.5,1940.215666666667,-1.054110512481863,25.79701178737524,1943.036264716951,1943-01-14 05:40:44.113770180,25.849642011610342,-0.9459295975206562,1943.0362647169513,1
40,40,12 SPL A Path N 21A,0.264,14706.0,176.709,N 21A,,,,N,21,4.66666666666666,1940.382333333333,-1.30830186577442,25.93711294140055,1943.202931383618,1943-03-16 01:40:44.113779741,25.90861810137601,-1.1902414063455282,1943.202931383618,3
41,41,12 SPL A Path N 22A,0.238,12507.0,151.741,N 22A,,,,N,22,4.83333333333333,1940.549,-1.208311840780301,25.99172957535224,1943.369598050285,1943-05-15 21:40:44.113789301,25.930569185965624,-1.101095314782204,1943.3695980502846,5
42,42,12 SPL A Path N 23A,0.306,16278.0,195.754,N 23A,,,4.0,N,23,5.0,1940.715666666667,-0.7866722377918902,25.86286504114408,1943.536264716951,1943-07-15 17:40:44.113770179,25.94028179227837,-0.8360851533330208,1943.5177461984329,7
43,43,12 SPL A Path N 24A,0.24,12014.0,143.245,N 24A,,,,N,24,5.11111111111111,1940.826777777778,-0.513271381426871,25.96625076033878,1943.647375828062,1943-08-25 07:00:44.113762215,25.909174217724416,-0.7422779692966349,1943.6473758280624,8
44,44,12 SPL A Path N 25A,.0.276,13083.0,160.111,N 25A,,,,N,25,5.22222222222222,1940.937888888889,-0.9268902886711432,25.89840685169039,1943.758486939174,1943-10-04 20:20:44.113790099,25.882339889521152,-0.9038898876044934,1943.7584869391737,10
45,45,12 SPL A Path N 26A,0.248,11818.0,138.748,N 26A,1.0,5.0,,N,26,5.33333333333333,1941.049,-1.271507992715466,25.78236205653429,1943.869598050285,1943-11-14 09:40:44.113789301,25.811853530202598,-1.0894405432249354,1943.8643070449941,11
46,46,12 SPL A Path N 27A,0.292,15799.0,192.739,N 27A,,,,N,27,5.42857142857142,1941.144238095238,-1.069923348288197,25.75479168238311,1943.964836145523,1943-12-19 03:57:52.685210019,25.744334866347515,-1.237445203233547,1943.9648361455231,12
47,47,12 SPL A Path N 28A,0.272,14819.0,172.305,N 28A,,,,N,28,5.52380952380952,1941.239476190476,-1.370904268696978,25.69585086012515,1944.060074240761,1944-01-22 23:41:31.671039656,25.73905551637414,-1.246139863379035,1944.0600742407612,1
48,48,12 SPL A Path N 29A,0.248,12649.0,154.197,N 29A,,,,N,29,5.61904761904761,1941.334714285714,-1.29759197315193,25.76652400661416,1944.155312335999,1944-02-26 20:15:48.813896114,25.79541005473347,-1.2848123312662691,1944.155312335999,2
49,49,12 SPL A Path N 30A,0.224,13329.0,156.339,N 30A,,,,N,30,5.71428571428571,1941.429952380952,-1.185940751949899,25.9238552974611,1944.250550431237,1944-04-01 16:50:05.956745382,25.894423256074305,-1.124889118046809,1944.250550431237,4
50,50,12 SPL A Path N 31A,0.24,12743.0,155.034,N 31A,,,,N,31,5.8095238095238,1941.525190476191,-0.8911346290385973,25.99289046414766,1944.345788526475,1944-05-06 13:24:23.099601841,25.993316286648138,-0.9912483580671516,1944.345788526475,5
51,51,12 SPL A Path N 32A,0.248,12869.0,151.609,N 32A,,,,N,32,5.9047619047619,1941.620428571429,-0.8966696932129582,26.06320309833565,1944.441026621713,1944-06-10 09:58:40.242458299,25.874544137562566,-0.8111329063031963,1944.441026621713,6
52,52,12 SPL A Path N 33A,0.266,12913.0,157.241,N 33A,,,5.0,N,33,6.0,1941.715666666667,-0.6455943966580336,25.5675388502044,1944.536264716951,1944-07-15 06:32:57.385314755,25.855952609633192,-0.7241651254225756,1944.541555722242,7
53,53,12 SPL A Path N 34A,0.266,12900.0,156.85,N 34A,,,,N,34,6.11111111111111,1941.826777777778,-0.6302312863967348,25.93711588035952,1944.647375828062,1944-08-24 22:32:57.385306768,25.74116111720473,-0.6584116252793483,1944.6473758280624,8
54,54,12 SPL A Path N 35A,0.264,13272.0,157.443,N 35A,,,,N,35,6.22222222222222,1941.937888888889,-0.6994091927832763,25.71882862105027,1944.758486939174,1944-10-04 14:32:57.385334730,25.833739957694743,-0.7845448015737304,1944.7584869391737,10
55,55,12 SPL A Path N 36A,0.226,9344.0,114.819,N 36A,1.0,6.0,,N,36,6.33333333333333,1942.049,-1.02399392554118,25.84527537167443,1944.869598050285,1944-11-14 06:32:57.385333929,25.758089520904857,-0.9899684867185128,1944.8770054576926,11
56,56,12 SPL A Path N 37A,0.244,13163.0,154.941,N 37A,,,,N,37,6.46666666666666,1942.182333333333,-1.246502341831082,25.71016456998987,1945.002931383618,1945-01-02 01:40:44.113778307,25.762606047748537,-1.164087968859196,1945.0029313836183,1
57,57,12 SPL A Path N 38A,0.224,10333.0,126.982,N 38A,,,,N,38,6.6,1942.315666666667,-1.221767639205326,25.73237820158132,1945.136264716951,1945-02-19 17:40:44.113767312,25.739128663797533,-1.2125168842332847,1945.1362647169515,2
58,58,12 SPL A Path N 39A,0.251,9502.0,111.574,N 39A,,,,N,39,6.73333333333333,1942.449,-1.169280671663446,25.77484321982142,1945.269598050285,1945-04-09 09:40:44.113784999,25.824972716519195,-1.1325713645440632,1945.2695980502847,4
59,59,12 SPL A Path N 40A,0.204,14563.0,177.892,N 40A,,,,N,40,6.86666666666666,1942.582333333333,-1.006665782763417,25.96769672815484,1945.402931383618,1945-05-28 01:40:44.113774005,25.896186631459738,-1.0377034723727174,1945.4029313836181,5
60,60,12 SPL A Path N 41A,0.23,10096.0,118.138,N 41A,,,6.0,N,41,7.0,1942.715666666667,-0.9371639626912891,25.94601994640295,1945.536264716951,1945-07-15 17:40:44.113770179,25.97052759875044,-0.879893935489724,1945.5140424947292,7
61,61,12 SPL A Path N 42A,0.254,12093.0,147.773,N 42A,,,,N,42,7.06666666666666,1942.782333333333,-0.6958520610144662,25.99786612169353,1945.602931383618,1945-08-09 01:40:44.113775440,25.91885318928443,-0.7470880765669025,1945.602931383618,8
62,62,12 SPL A Path N 43A,0.211,14434.0,169.653,N 43A,,,,N,43,7.13333333333333,1942.849,-0.6082482059949519,25.81267349975682,1945.669598050285,1945-09-02 09:40:44.113787867,25.88278530508147,-0.5713800025946966,1945.6695980502845,9
63,63,12 SPL A Path N 44A,0.252,12340.0,148.933,N 44A,,,,N,44,7.2,1942.915666666667,-0.4100397407746713,25.83781629379406,1945.736264716951,1945-09-26 17:40:44.113764443,25.82844232086552,-0.6088675018467321,1945.7362647169512,9
64,64,12 SPL A Path N 45A,0.243,11148.0,136.031,N 45A,,,,N,45,7.26666666666666,1942.982333333333,-0.8083145587705729,25.83483716904568,1945.802931383618,1945-10-21 01:40:44.113776874,25.829603209660927,-0.6619430415829849,1945.802931383618,10
65,65,12 SPL A Path N 46A,0.252,14490.0,172.212,N 46A,1.0,7.0,,N,46,7.33333333333333,1943.049,-0.7674748252037102,25.81615616614304,1945.869598050285,1945-11-14 09:40:44.113789301,25.879335946896976,-0.8704577930920315,1945.8844128650996,11
66,66,12 SPL A Path N 47A,0.216,10017.0,122.938,N 47A,,,,N,47,7.44444444444444,1943.160111111111,-1.035583995301811,25.98701450550221,1945.980709161396,1945-12-24 23:00:44.113781333,25.965821345777332,-1.1356289586471011,1945.980709161396,12
67,67,12 SPL A Path N 48A,0.231,8867.0,105.147,N 48A,,,,N,48,7.55555555555555,1943.271222222222,-1.603828055435782,26.09429336568675,1946.091820272507,1946-02-03 12:20:44.113780538,26.084641171308505,-1.2985461771045703,1946.091820272507,2
68,68,12 SPL A Path N 49A,0.25,10717.0,131.61,N 49A,,,,N,49,7.66666666666666,1943.382333333333,-1.256226480576118,26.17261564273656,1946.202931383618,1946-03-16 01:40:44.113779741,26.098875855831878,-1.233213702360985,1946.202931383618,3
69,69,12 SPL A Path N 50A,0.222,19013.0,221.556,N 50A,,,,N,50,7.77777777777777,1943.493444444445,-0.8395865710710547,26.02971855907233,1946.314042494729,1946-04-25 15:00:44.113771774,26.093324815428744,-0.9475839197674224,1946.314042494729,4
70,70,12 SPL A Path N 51A,0.232,11780.0,144.41,N 51A,,,,N,51,7.88888888888888,1943.604555555556,-0.7469387076550942,26.07764024447735,1946.42515360584,1946-06-05 04:20:44.113770977,25.923482702773182,-0.6792063476633099,1946.42515360584,6
71,71,12 SPL A Path N 52A,0.244,14674.0,170.846,N 52A,,,7.0,N,52,8.0,1943.715666666667,-0.4510937642637805,25.66308930476987,1946.536264716951,1946-07-15 17:40:44.113770179,26.125251053332935,-0.7042654529900556,1946.536264716951,7
72,72,12 SPL A Path N 53A,0.244,13274.0,173.573,N 53A,,,,N,53,8.11111111111111,1943.826777777778,-0.9147638870512916,26.63502361075158,1946.647375828062,1946-08-25 07:00:44.113762215,26.053167382075145,-0.8973320407341222,1946.6177461984328,8
81,81,SPL A  Path M 1A,0.232,13154.0,164.229,M 1A,,7.8,,M,1,8.13333333333333,1943.849,-1.326138470887294,25.86138923070398,1946.669598050285,1946-09-02 09:40:44.113787867,26.16656809380609,-0.8846301522975861,1946.6918202725071,9
73,73,12 SPL A Path N 54A,0.257,11096.0,131.595,N 54A,,,,N,54,8.22222222222222,1943.937888888889,-0.4129880989541724,26.00329143996271,1946.758486939174,1946-10-04 20:20:44.113790099,25.81643502518771,-0.8386523988024077,1946.7325610132482,10
82,82,SPL A  Path M 2A,0.252,16508.0,196.895,M 2A,,,,M,2,8.23333333333333,1943.949,-0.7768306265657567,25.58462440489644,1946.769598050285,1946-10-08 21:40:44.113784999,25.868522019574737,-0.6206223672620412,1946.7992276799148,10
74,74,12 SPL A Path N 55A,0.249,11634.0,141.545,N 55A,1.0,8.0,,N,55,8.33333333333333,1944.049,-0.6720483762661944,26.01765021386506,1946.869598050285,1946-11-14 09:40:44.113789301,25.789135478513547,-0.5200968824995084,1946.8362647169515,11
83,83,SPL A  Path M 3A,0.232,13615.0,169.699,M 3A,0.0,8.0,,M,3,8.33333333333333,1944.049,-0.1114116446665738,25.76513181677914,1946.869598050285,1946-11-14 09:40:44.113789301,25.852967131314514,-0.46581912883776794,1946.9251536058403,11
84,84,SPL A  Path M 4A,0.266,15981.0,192.737,M 4A,,,,M,4,8.5,1944.215666666667,-0.6139973655805353,25.77611936329935,1947.036264716951,1947-01-14 05:40:44.113770180,25.974490146001347,-0.6502123524489974,1946.9992276799142,1
75,75,12 SPL A Path N 56A,0.242,13391.0,161.251,N 56A,,,,N,56,8.55555555555555,1944.271222222222,-1.225228047099883,26.38221925792556,1947.091820272507,1947-02-03 12:20:44.113780538,26.083003124166908,-0.9450184602220498,1947.1103387910252,2
85,85,SPL A  Path M 5A,0.242,14837.0,184.006,M 5A,,,,M,5,8.66666666666666,1944.382333333333,-0.9958299679857308,26.09067075127582,1947.202931383618,1947-03-16 01:40:44.113779741,26.2735454193316,-1.1478152869077085,1947.202931383618,3
76,76,12 SPL A Path N 57A,0.224,11171.0,133.995,N 57A,,,,N,57,8.77777777777777,1944.493444444445,-1.222387845637512,26.34774624879342,1947.314042494729,1947-04-25 15:00:44.113771774,26.20381822770435,-1.197468681521505,1947.2955239762107,4
86,86,SPL A  Path M 6A,0.214,12386.0,154.082,M 6A,,,,M,6,8.83333333333333,1944.549,-1.374188230941272,26.17303768304381,1947.369598050285,1947-05-15 21:40:44.113789301,26.26210557396566,-1.2439764101794746,1947.4066350873218,5
77,77,12 SPL A Path N 58A,0.264,10611.0,129.851,N 58A,,,8.0,N,58,9.0,1944.715666666667,-1.13535315395964,26.26553279005976,1947.536264716951,1947-07-15 17:40:44.113770179,26.142096764504355,-1.3181841753579164,1947.4807091613957,7
87,87,SPL A  Path M 7A,0.3,18336.0,220.613,M 7A,,,8.0,M,7,9.0,1944.715666666667,-1.445011141172837,25.98771982040949,1947.536264716951,1947-07-15 17:40:44.113770179,25.959150876806486,-1.1541660299317733,1947.539968420655,7
78,78,12 SPL A Path N 59A,0.234,23352.0,274.48,N 59A,,,,N,59,9.01111111111111,1944.726777777778,-0.8821337946628428,25.62420001995021,1947.547375828063,1947-07-19 19:00:44.113793764,25.859319665217413,-0.9427513496307524,1947.5473758280623,7
79,79,12 SPL A Path N 60A,0.249,9588.0,117.597,N 60A,,,,N,60,9.02222222222222,1944.737888888889,-0.5011091130565775,25.96603915529254,1947.558486939173,1947-07-23 20:20:44.113759983,25.79210437898779,-0.6604679519128283,1947.5584869391735,7
80,80,12 SPL A Path N 61A,0.215,15594.0,183.013,N 61A,,8.7,,N,61,9.03333333333333,1944.749,-0.5981609480190643,25.78607396172062,1947.569598050285,1947-07-27 21:40:44.113790736,25.862454816987093,-0.7575935733813527,1947.5918202725068,7
88,88,SPL A  Path M 8A,0.312,20552.0,254.471,M 8A,,,,M,8,9.11111111111111,1944.826777777778,-1.173510659068416,25.83525133394811,1947.647375828062,1947-08-25 07:00:44.113762215,25.7246579997487,-0.8816829033170377,1947.6584869391736,8
89,89,SPL A  Path M 9A,0.266,13474.0,166.98,M 9A,,,,M,9,9.22222222222222,1944.937888888889,-0.8733771028636328,25.55264870357736,1947.758486939174,1947-10-04 20:20:44.113790099,25.55054609601929,-0.9458137690411809,1947.7584869391737,10
90,90,SPL A  Path M 10A,0.32,20220.0,245.426,M 10A,1.0,9.0,,M,10,9.33333333333333,1945.049,-0.7905535451914933,25.2637382505324,1947.869598050285,1947-11-14 09:40:44.113789301,25.393170028382798,-0.8446966564574906,1947.869598050285,11
91,91,SPL A  Path M 11A,0.332,21055.0,260.992,M 11A,,,,M,11,9.44444444444444,1945.160111111111,-0.8701593213173455,25.36312313103863,1947.980709161396,1947-12-24 23:00:44.113781333,25.392977264408756,-0.9749062231984391,1947.980709161396,12
92,92,SPL A  Path M 12A,0.222,13394.0,160.075,M 12A,,,,M,12,9.55555555555555,1945.271222222222,-1.264005803086478,25.55207041165524,1948.091820272507,1948-02-03 14:32:57.385325142,25.45794487747089,-1.0918339354257387,1948.091820272507,2
93,93,SPL A  Path M 13A,0.244,13718.0,170.802,M 13A,,,,M,13,9.66666666666666,1945.382333333333,-1.141336681873392,25.4586410897188,1948.202931383618,1948-03-15 06:32:57.385324343,25.60450853272407,-1.0642669233849975,1948.202931383618,3
94,94,SPL A  Path M 14A,0.286,16910.0,205.295,M 14A,,,,M,14,9.77777777777777,1945.493444444445,-0.7874582851951217,25.80281409679817,1948.314042494729,1948-04-24 22:32:57.385316353,25.635738458668186,-0.9137910330668818,1948.314042494729,4
95,95,SPL A  Path M 15A,0.27,14939.0,182.101,M 15A,,,,M,15,9.88888888888889,1945.604555555556,-0.812578132132131,25.64576018948758,1948.42515360584,1948-06-04 14:32:57.385315556,25.72186836275078,-0.7380372534497613,1948.42515360584,6
96,96,SPL A  Path M 16A,0.306,16626.0,208.837,M 16A,,,9.0,M,16,10.0,1945.715666666667,-0.6140753430220312,25.71703080196658,1948.536264716951,1948-07-15 06:32:57.385314755,25.69786184677774,-0.7029713097781197,1948.536264716951,7
97,97,SPL A  Path M 17A,0.26,12945.0,156.9,M 17A,,,,M,17,10.1111111111111,1945.826777777778,-0.6822604541801969,25.73079454887907,1948.647375828062,1948-08-24 22:32:57.385306768,25.515473863493437,-0.8697544177286458,1948.6473758280624,8
98,98,SPL A  Path M 18A,0.31,18768.0,238.209,M 18A,,,,M,18,10.2222222222222,1945.937888888889,-1.312927455983709,25.09859623963466,1948.758486939174,1948-10-04 14:32:57.385334730,25.391682968251754,-0.9144904058711786,1948.7584869391737,10
99,99,SPL A  Path M 19A,0.244,13520.0,168.357,M 19A,1.0,10.0,,M,19,10.3333333333333,1946.049,-0.7482833074496298,25.34565811624153,1948.869598050285,1948-11-14 06:32:57.385333929,25.264395544083225,-0.9797153034569103,1948.906635087322,11
100,100,SPL A  Path M 20A,0.324,17185.0,205.466,M 20A,,,,M,20,10.5555555555555,1946.271222222222,-0.8779351469373917,25.34893227637348,1949.091820272507,1949-02-03 12:20:44.113780538,25.40823771796695,-0.9652943924565403,1949.091820272507,2
101,101,SPL A  Path M 21A,0.248,12648.0,158.54,M 21A,,,,M,21,10.7777777777777,1946.493444444444,-1.269664722982599,25.53012276128585,1949.314042494729,1949-04-25 15:00:44.113771774,25.594231335585334,-1.220725629534981,1949.314042494729,4
102,102,SPL A  Path M 22A,0.122,6033.0,73.132,M 22A,,,10.0,M,22,11.0,1946.715666666667,-1.514577018684952,25.90363896909667,1949.536264716951,1949-07-15 17:40:44.113770179,25.677606993412464,-1.3455728667434255,1949.4844128650993,7
103,103,SPL A  Path M 23A,0.322,17960.0,223.757,M 23A,,,,M,23,11.0666666666666,1946.782333333333,-1.252476858562725,25.59905924985487,1949.602931383618,1949-08-09 01:40:44.113775440,25.778288165906314,-1.422581482298419,1949.602931383618,8
104,104,SPL A  Path M 24A,0.264,14865.0,183.385,M 24A,,,,M,24,11.1333333333333,1946.849,-1.50069056964758,25.8321662787674,1949.669598050285,1949-09-02 09:40:44.113787867,25.693111104625505,-1.235166539930968,1949.6695980502845,9
105,105,SPL A  Path M 25A,0.32,14019.0,170.093,M 25A,,,,M,25,11.2,1946.915666666667,-0.9523321915825982,25.64810778525424,1949.736264716951,1949-09-26 17:40:44.113764443,25.686942990094696,-1.2188444742624172,1949.7362647169512,9
106,106,SPL A  Path M 26A,0.276,14999.0,187.338,M 26A,,,,M,26,11.2666666666666,1946.982333333333,-1.203510661557073,25.58055490626246,1949.802931383618,1949-10-21 01:40:44.113776874,25.60159606673172,-1.0851199540921408,1949.802931383618,10
