Date,Sea Level
1985.2916,7416
1985.375,7371
1985.4584,7314
1985.5416,7303
1985.625,7258
1985.7084,7288
1985.7916,7303
1985.875,7322
1985.9584,7311
1986.0416,7334
1986.125,7372
1986.2084,7438
1986.2916,7457
1986.375,7381
1986.4584,7324
1986.5416,7280
1986.625,7250
1986.7084,7238
1986.7916,7252
1986.875,7296
1986.9584,7191
1987.0416,7139
1987.125,7168
1987.2084,7113
1987.2916,7084
1987.375,7065
1987.4584,7031
1987.5416,7039
1987.625,7079
1987.7084,7086
1987.7916,7141
1987.875,7192
1987.9584,7221
1988.0416,7171
1988.125,7187
1988.2084,7317
1988.2916,7377
1988.375,7355
1988.4584,7318
1988.5416,7303
1988.625,7299
1988.7084,7294
1988.7916,7301
1988.875,7372
1988.9584,7403
1989.0416,7420
1989.125,7491
1989.2084,7468
1989.2916,7484
1989.375,7430
1989.4584,7320
1989.5416,7313
1989.625,7305
1989.7084,7320
1989.7916,7344
1989.875,7328
1989.9584,7300
1990.0416,7332
1990.125,7263
1990.2084,7236
1990.2916,7246
1990.375,7293
1990.4584,7305
1990.5416,7307
1990.625,7292
1990.7084,7278
1990.7916,7325
1990.875,7356
1990.9584,7319
1991.0416,7299
1991.125,7390
1991.2084,7410
1991.2916,7380
1991.375,7365
1991.4584,7315
1991.5416,7276
1991.625,7273
1991.7084,7218
1991.7916,7267
1991.875,7263
1991.9584,7195
1992.0416,7091
1992.125,7070
1992.2084,7051
1992.2916,7012
1992.375,6969
1992.4584,6986
1992.5416,6974
1992.625,7032
1992.7084,7096
1992.7916,7157
1992.875,7164
1992.9584,7214
1993.0416,7100
1993.125,7120
1993.2084,7120
1993.2916,7152
1993.375,7117
1993.4584,7097
1993.5416,7109
1993.625,7073
1993.7084,7088
1993.7916,7133
1993.875,7160
1993.9584,7185
1994.0416,7223
1994.125,7330
1994.2084,7403
1994.2916,7356
1994.375,7317
1994.4584,7269
1994.5416,7215
1994.625,7208
1994.7084,7129
1994.7916,7177
1994.875,7200
1994.9584,7196
1995.0416,7164
1995.125,7147
1995.2084,7315
1995.2916,7361
1995.375,7304
1995.4584,7268
1995.5416,7314
1995.625,7288
1995.7084,7283
1995.7916,7321
1995.875,7343
1995.9584,7342
1996.0416,7340
1996.125,7414
1996.2084,7438
1996.2916,7467
1996.375,7384
1996.4584,7296
1996.5416,7301
1996.625,7303
1996.7084,7326
1996.7916,7313
1996.875,7340
1996.9584,7361
1997.0416,7316
1997.125,7371
1997.2084,7393
1997.2916,7243
1997.375,7212
1997.4584,7204
1997.5416,
1997.625,
1997.7084,7027
1997.7916,7067
1997.875,7064
1997.9584,7117
1998.0416,7130
1998.125,7087
1998.2084,7084
1998.2916,7135
1998.375,7139
1998.4584,7134
1998.5416,7046
1998.625,7119
1998.7084,7127
1998.7916,7160
1998.875,7207
1998.9584,7245
1999.0416,7354
1999.125,7492
1999.2084,7486
1999.2916,7422
1999.375,7365
1999.4584,7290
1999.5416,7278
1999.625,7302
1999.7084,7339
1999.7916,7358
1999.875,7368
1999.9584,7417
2000.0416,7439
2000.125,7442
2000.2084,7506
2000.2916,7502
2000.375,7450
2000.4584,7380
2000.5416,7320
2000.625,7248
2000.7084,7297
2000.7916,7358
2000.875,7402
2000.9584,7444
2001.0416,7430
2001.125,7526
2001.2084,7499
2001.2916,7514
2001.375,7422
2001.4584,7251
2001.5416,7079
2001.625,7226
2001.7084,7273
2001.7916,7301
2001.875,7355
2001.9584,7319
2002.0416,7257
2002.125,7276
2002.2084,7323
2002.2916,7372
2002.375,7370
2002.4584,7355
2002.5416,7261
2002.625,7252
2002.7084,7179
2002.7916,7185
2002.875,7244
2002.9584,7235
2003.0416,7205
2003.125,7200
2003.2084,7280
2003.2916,7296
2003.375,7377
2003.4584,7340
2003.5416,7317
2003.625,7278
2003.7084,7299
2003.7916,7315
2003.875,7302
2003.9584,7340
2004.0416,7289
2004.125,7303
2004.2084,7428
2004.2916,7348
2004.375,7355
2004.4584,7285
2004.5416,7241
2004.625,7208
2004.7084,7245
2004.7916,7255
2004.875,7294
2004.9584,7264
2005.0416,7313
2005.125,7287
2005.2084,7224
2005.2916,7337
2005.375,7306
2005.4584,7309
2005.5416,7262
2005.625,7263
2005.7084,7306
2005.7916,7337
2005.875,7394
2005.9584,7395
2006.0416,7449
2006.125,7502
2006.2084,7545
2006.2916,7499
2006.375,7423
2006.4584,7356
2006.5416,7280
2006.625,7212
2006.7084,7217
2006.7916,7210
2006.875,7226
2006.9584,7254
2007.0416,7281
2007.125,7269
2007.2084,7366
2007.2916,7392
2007.375,7385
2007.4584,7376
2007.5416,7307
2007.625,7348
2007.7084,7334
2007.7916,7347
2007.875,7449
2007.9584,7449
2008.0416,7497
2008.125,7526
2008.2084,7577
2008.2916,7543
2008.375,7450
2008.4584,7375
2008.5416,7317
2008.625,7325
2008.7084,7326
2008.7916,7318
2008.875,7353
2008.9584,7439
2009.0416,7474
2009.125,7541
2009.2084,7544
2009.2916,7464
2009.375,7415
2009.4584,7330
2009.5416,7292
2009.625,7275
2009.7084,7271
2009.7916,7255
2009.875,7268
2009.9584,7265
2010.0416,7245
2010.125,7191
2010.2084,7201
2010.2916,7244
2010.375,7265
2010.4584,7283
2010.5416,7323
2010.625,7334
2010.7084,7324
2010.7916,7428
2010.875,7402
2010.9584,7457
2011.0416,7443
2011.125,7517
2011.2084,7530
2011.2916,7512
2011.375,7453
2011.4584,7396
2011.5416,7354
2011.625,7332
2011.7084,7389
2011.7916,7453
2011.875,7446
2011.9584,7493
2012.0416,7533
2012.125,7567
2012.2084,7576
2012.2916,7470
2012.375,7445
2012.4584,7365
2012.5416,7307
2012.625,7265
2012.7084,7291
2012.7916,7287
2012.875,7337
2012.9584,7358
