,sample,age1,age_end,age2,count
478,H 18A,,,,65
479,H 19A,,,,65
480,H 20A,,,,65
481,H 21A,,,,65
482,H 22A,,65,,65
483,H 23A,,,,65
484,H 24A,1,,66,66
485,H 25A,,,,66
486,H 26A,,,,66
487,H 27A,,,,66
488,H 28A,,,,66
489,H 29A,,66,,66
490,H 30A,,,,66
491,H 31A,1,,67,67
492,H 32A,,,,67
493,H 33A,,,,67
494,H 34A,,,,67
495,H 35A,,,,67
496,H 36A,,67,,67
497,H 37A,,,,67
498,H 38A,1,,68,68
499,H 39A,,,,68
500,H 40A,,,,68
501,H 41A,,68,,68
502,H 42A,,,,68
503,H 43A,,,,68
504,H 44A,1,,69,69
505,H 45A,,,,69
506,H 46A,,,,69
507,H 47A,,,,69
508,H 48A,,69,,69
509,H 49A,,,,69
510,H 50A,1,,70,70
511,H 51A,,,,70
512,H 52A,,,,70
513,H 53A,,,,70
514,H 54A,,,,70
515,H 55A,,70,,70
516,H 56A,,,,70
517,H 57A,1,,71,71
518,H 58A,,,,71
519,H 59A,,,,71
520,H 60A,,,,71
521,H 61A,,,,71
522,H 62A,,71,,71
523,H 63A,,,,71
524,H 64A,1,,72,72
525,H 65A,,,,72
526,H 66A,,,,72
527,H 67A,,,,72
528,H 68A,,,,72
529,H 69A,,72,,72
530,H 70A,,,,72
531,H 71A,,,,72
532,H 72A,1,,73,73
533,H 73A,,,,73
534,H 74A,,,,73
535,H 75A,,,,73
536,H 76A,,73,,73
537,H 77A,,,,73
538,H 78A,1,,74,74
539,H 79A,,,,74
540,H 80A,,,,74
541,H 81A,,,,74
542,H 82A,,,,74
543,H 83A,,74,,74
544,H 84A,,,,74
545,H 85A,1,,75,75
546,H 86A,,,,75
547,H 87A,,,,75
548,H 88A,,,,75
549,H 89A,,,,75
550,H 90A,,,,75
551,H 91A,,75,,75
552,H 92A,,,,75
553,H 93A,,,,75
554,H 94A,1,,76,76
555,H 95A,,,,76
556,H 96A,,76,,76
557,H 97A,,,,76
558,H 98A,1,,77,77
559,H 99A,,,,77
560,H 100A,,,,77
561,H 101A,,77,,77
562,H 102A,,,,77
563,H 103A,,,,77
564,H 104A,1,,78,78
565,H 105A,,,,78
566,H 106A,,78,,78
567,H 107A,,,,78
568,H 108A,,,,78
569,H 109A,1,,79,79
570,H 110A,,,,79
571,H 111A,,,,79
572,H 112A,,,,79
573,H 113A,,,79.9,79
