sample,age1
K 3A,33
K 4A,
K 5A,
K 6A,
K 7A,
K 8A,
K 9A,
K 10A,
K 11A,34
K 12A,
K 13A,
K 14A,
K 15A,
K 16A,
K 17A,
K 18A,
K 19A,35
K 20A,
K 21A,
K 22A,
K 23A,
K 24A,36
K 25A,
K 26A,
K 27A,
K 28A,37
K 29A,
K 30A,
K 31A,
K 32A,38
K 33A,
K 34A,
K 35A,
K 36A,39
K 37A,
K 38A,
K 39A,
K 40A,
K 41A,
K 42A,
K 43A,40
K 44A,
K 45A,
K 46A,
K 47A,
K 48A,
K 49A,41
K 50A,
K 51A,
K 52A,
K 53A,
K 54A,
K 55A,
K 56A,42
K 57A,
K 58A,
K 59A,
K 60A,
K 61A,
K 62A,
K 63A,43
K 64A,
K 65A,
K 66A,
K 67A,
K 68A,
K 69A,
K 70A,44
K 71A,
K 72A,
K 73A,
K 74A,44.8
J 1A,46.3
J 2A,
J 3A,
J 4A,
J 5A,
J 6A,47
J 7A,
J 8A,
J 9A,
J 10A,
J 11A,
J 12A,
J 13A,
J 14A,
J 15A,
J 16A,48
J 17A,
J 18A,
J 19A,
J 20A,
J 21A,
J 23A,
J 24A,
J 25A,
J 26A,
J 27A,
J 28A,49
J 29A,
J 30A,49.3
I 1A,47.9
I 2A,48
I 3A,
I 4A,
I 5A,
I 6A,
I 7A,
I 8A,49
I 9A,
I 10A,
I 11A,
I 12A,
I 13A,
I 14A,
I 15A,
I 16A,
I 17A,50
I 18A,
I 19A,
I 20A,
I 21A,
I 22A,
I 23A,
I 24A,
I 25A,
I 26A,
I 27A,
I 28A,51
I 29A,
I 30A,
I 31A,
I 32A,
I 33A,
I 34A,52
I 35A,
I 36A,
I 37A,
I 38A,
I 39A,
I 40A,
I 41A,53
I 42A,
I 43A,
I 44A,
I 45A,
I 46A,
I 47A,
I 48A,
I 49A,54
I 50A,
I 51A,
I 52A,
I 53A,
I 54A,
I 55A,
I 56A,
I 57A,55
I 58A,
I 59A,
I 60A,
I 61A,
I 62A,
I 63A,
I 64A,
I 65A,
I 66A,
I 67A,
I 68A,
I 69A,
I 70A,
I 71A,
I 72A,
I 73A,56
I 74A,
I 75A,
I 76A,
I 77A,
I 78A,
I 79A,
I 80A,57
I 81A,
I 82A,
I 83A,
I 84A,
I 85A,
I 86A,
I 87A,58
I 88A,
I 89A,
I 90A,
I 91A,59
I 92A,
I 93A,
I 94A,
I 95A,
I 96A,
I 97A,
I 98A,
I 99A,60
I 100A,
I 101A,
I 102A,
I 103A,
I 104A,
I 105A,
I 106A,
I 107A,
I 108A,61
I 109A,
I 110A,
I 111A,62
I 112A,
I 113A,63
I 114A,
I 115A,
I 116A,
I 117A,
I 118A,64
I 119A,
I 120A,
I 121A,
I 122A,64.7
H 1A,62.7
H 2A,
H 3A,
H 4A,
H 5A,63
H 6A,
H 7A,
H 8A,
H 9A,
H 10A,
H 11A,64
H 12A,
H 13A,
H 14A,
H 15A,
H 16A,
H 17A,65
H 18A,
H 19A,
H 20A,
H 21A,
H 22A,
H 23A,
H 24A,66
H 25A,
H 26A,
H 27A,
H 28A,
H 29A,
H 30A,
H 31A,67
H 32A,
H 33A,
H 34A,
H 35A,
H 36A,
H 37A,
H 38A,68
H 39A,
H 40A,
H 41A,
H 42A,
H 43A,
H 44A,69
H 45A,
H 46A,
H 47A,
H 48A,
H 49A,
H 50A,70
H 51A,
H 52A,
H 53A,
H 54A,
H 55A,
H 56A,
H 57A,71
H 58A,
H 59A,
H 60A,
H 61A,
H 62A,
H 63A,
H 64A,72
H 65A,
H 66A,
H 67A,
H 68A,
H 69A,
H 70A,
H 71A,
H 72A,73
H 73A,
H 74A,
H 75A,
H 76A,
H 77A,
H 78A,74
H 79A,
H 80A,
H 81A,
H 82A,
H 83A,
H 84A,
H 85A,75
H 86A,
H 87A,
H 88A,
H 89A,
H 90A,
H 91A,
H 92A,
H 93A,
H 94A,76
H 95A,
H 96A,
H 97A,
H 98A,77
H 99A,
H 100A,
H 101A,
H 102A,
H 103A,
H 104A,78
H 105A,
H 106A,
H 107A,
H 108A,
H 109A,79
H 110A,
H 111A,
H 112A,
H 113A,79.9
